,predicted,cellid
0,2,4379
1,1,4380
2,1,4381
3,1,4382
4,1,4383
5,2,4384
6,2,4385
7,2,4386
8,1,4387
9,2,4388
10,2,4389
11,1,4390
12,1,4391
13,2,4392
14,1,4393
15,2,4496
16,1,4497
17,1,4498
18,1,4499
19,1,4500
20,1,4501
21,1,4502
22,1,4503
23,2,4504
24,1,4505
25,2,4506
26,1,4507
27,1,4508
28,1,4509
29,2,4510
30,1,4613
31,1,4614
32,1,4615
33,2,4616
34,1,4617
35,1,4618
36,1,4619
37,2,4620
38,1,4621
39,2,4622
40,1,4623
41,1,4624
42,2,4625
43,2,4626
44,1,4627
45,1,4730
46,2,4731
47,1,4732
48,1,4733
49,1,4734
50,1,4735
51,2,4736
52,2,4737
53,2,4738
54,1,4739
55,1,4740
56,1,4741
57,1,4742
58,2,4743
59,1,4744
60,1,4847
61,2,4848
62,1,4849
63,1,4850
64,1,4851
65,2,4852
66,1,4853
67,2,4854
68,1,4855
69,1,4856
70,1,4857
71,1,4858
72,1,4859
73,2,4860
74,1,4861
75,0,4964
76,2,4965
77,1,4966
78,1,4967
79,1,4968
80,2,4969
81,2,4970
82,2,4971
83,1,4972
84,2,4973
85,1,4974
86,1,4975
87,1,4976
88,2,4977
89,1,4978
90,2,5081
91,1,5082
92,1,5083
93,0,5084
94,1,5085
95,1,5086
96,2,5087
97,1,5088
98,1,5089
99,2,5090
100,2,5091
101,2,5092
102,1,5093
103,1,5094
104,2,5095
105,1,5198
106,1,5199
107,1,5200
108,1,5201
109,1,5202
110,1,5203
111,1,5204
112,1,5205
113,2,5206
114,1,5207
115,2,5208
116,1,5209
117,1,5210
118,1,5211
119,2,5212
120,1,5315
121,1,5316
122,0,5317
123,1,5318
124,2,5319
125,1,5320
126,2,5321
127,1,5322
128,1,5323
129,1,5324
130,2,5325
131,1,5326
132,1,5327
133,1,5328
134,1,5329
135,1,5432
136,1,5433
137,1,5434
138,1,5435
139,2,5436
140,1,5437
141,1,5438
142,1,5439
143,0,5440
144,0,5441
145,1,5442
146,1,5443
147,2,5444
148,1,5445
149,1,5446
150,1,5549
151,1,5550
152,1,5551
153,1,5552
154,1,5553
155,1,5554
156,2,5555
157,2,5556
158,2,5557
159,1,5558
160,1,5559
161,1,5560
162,1,5561
163,1,5562
164,2,5563
165,0,5666
166,1,5667
167,1,5668
168,1,5669
169,2,5670
170,1,5671
171,1,5672
172,2,5673
173,1,5674
174,1,5675
175,1,5676
176,1,5677
177,1,5678
178,2,5679
179,2,5680
180,0,5783
181,1,5784
182,1,5785
183,1,5786
184,1,5787
185,1,5788
186,1,5789
187,2,5790
188,1,5791
189,1,5792
190,1,5793
191,1,5794
192,2,5795
193,1,5796
194,1,5797
195,0,5900
196,1,5901
197,1,5902
198,1,5903
199,1,5904
200,2,5905
201,2,5906
202,1,5907
203,2,5908
204,1,5909
205,1,5910
206,1,5911
207,1,5912
208,1,5913
209,2,5914
210,2,6017
211,1,6018
212,1,6019
213,2,6020
214,2,6021
215,2,6022
216,2,6023
217,2,6024
218,1,6025
219,1,6026
220,1,6027
221,1,6028
222,1,6029
223,2,6030
224,2,6031
